rownames,kids,morekids,boys2,girls2,boy1st,boy2nd,samesex,multi2nd,age,agefstm,black,hispan,worked,weeks,hours,labinc,faminc,nonmomi,educ,agesq
59,2,0,0,0,1,0,0,0,32,23,0,1,0,0,0,0,39.894783,39.894783,7,1024
60,3,1,0,0,1,0,0,0,24,20,1,0,0,0,0,0,14.13793,14.13793,9,576
61,3,1,0,0,0,1,0,0,25,20,1,0,1,52,50,12.08074,14.25338,2.17264,14,625
62,4,1,1,0,1,1,1,0,35,17,0,1,1,52,40,18.882061,45.499557,26.617519,7,1225
63,5,1,0,0,1,0,0,0,31,15,1,0,1,52,40,13.65512,32.831059,19.17594,12,961
64,3,1,1,0,1,1,1,0,29,21,1,0,1,12,36,2.5295,34.562878,32.033382,14,841
65,4,1,0,0,0,1,0,0,30,17,1,0,1,4,35,4.20884,25.211061,21.00222,12,900
66,3,1,1,0,1,1,1,0,32,19,1,0,1,27,40,26.25016,70.983498,44.733379,13,1024
67,3,1,0,0,1,0,0,0,28,17,1,0,1,48,7,8.84802,29.934198,21.086189,12,784
68,2,0,0,1,0,0,1,0,29,25,1,0,1,30,40,21.00222,54.662468,33.660217,16,841
69,2,0,1,0,1,1,1,0,34,20,1,0,1,46,40,14.49479,18.38875,3.89397,13,1156
70,2,0,0,1,0,0,1,0,30,26,1,0,1,48,40,27.215778,42.55022,15.33446,16,900
71,2,0,0,1,0,0,1,0,27,19,1,0,1,51,30,10.50636,47.25238,36.746033,12,729
72,2,0,1,0,1,1,1,0,34,22,1,0,1,4,40,6.30802,33.60775,27.299749,13,1156
73,2,0,0,0,1,0,0,0,33,26,1,0,1,52,38,25.11661,51.366749,26.25016,14,1089
74,3,1,0,0,1,0,0,0,25,19,1,0,1,8,15,0.05248,21.054699,21.00222,11,625
75,2,0,0,0,0,1,0,0,32,24,1,0,0,0,0,0,10.50636,10.50636,12,1024
76,3,1,1,0,1,1,1,0,27,15,1,0,0,0,0,0,6.41297,6.41297,10,729
77,2,0,1,0,1,1,1,0,26,19,1,0,0,0,0,0,48.29147,48.29147,13,676
78,3,1,1,0,1,1,1,0,35,24,1,0,1,20,36,4.20884,42.00444,37.795589,16,1225
79,3,1,0,0,1,0,0,0,33,18,1,0,0,0,0,0,25.200581,25.200581,12,1089
80,2,0,0,0,1,0,0,0,33,22,1,0,1,52,40,31.498091,70.76313,39.26503,18,1089
81,2,0,0,1,0,0,1,0,35,22,0,1,1,52,40,9.876611,41.374691,31.498091,12,1225
82,2,0,0,1,0,0,1,0,30,17,1,0,1,51,40,29.39892,58.79784,29.39892,12,900
83,3,1,0,0,0,1,0,0,28,20,1,0,1,44,40,10.50636,39.905281,29.39892,14,784
84,3,1,1,0,1,1,1,0,31,22,1,0,1,16,40,2.10967,31.508591,29.39892,12,961
85,3,1,1,0,1,1,1,0,28,20,1,0,1,22,35,4.75463,40.451057,35.696442,14,784
86,2,0,0,1,0,0,1,0,26,22,1,0,0,0,0,0,36.284191,36.284191,14,676
87,2,0,0,1,0,0,1,0,27,21,1,0,1,50,40,16.803881,42.00444,25.200581,12,729
88,2,0,0,0,0,1,0,0,29,22,1,0,0,0,0,0,18.903051,18.903051,12,841
89,2,0,0,0,0,1,0,0,27,19,1,0,1,52,38,11.576941,45.740971,34.164032,12,729
90,3,1,0,1,0,0,1,0,35,24,1,0,1,50,40,19.952641,24.68627,4.73363,16,1225
91,4,1,1,0,1,1,1,0,32,17,1,0,1,32,40,16.489,39.590408,23.101391,12,1024
92,2,0,1,0,1,1,1,0,25,16,1,0,1,52,30,24.70727,54.116692,39.915783,12,625
93,3,1,0,0,0,1,0,0,26,17,1,0,0,0,0,0,8.34421,8.34421,12,676
94,3,1,0,0,1,0,0,0,23,17,1,0,1,40,9,2.73942,19.753222,17.013802,10,529
95,2,0,1,0,1,1,1,0,35,22,0,1,1,50,40,20.267519,49.44603,29.178499,15,1225
96,2,0,0,1,0,0,1,0,31,20,1,0,1,48,40,17.85347,30.85784,13.00438,13,961
97,3,1,0,1,0,0,1,0,30,19,1,0,1,32,8,5.04851,5.04851,0,12,900
98,3,1,0,1,0,0,1,0,30,22,0,1,1,24,40,8.197269,21.68445,13.48719,14,900
99,2,0,0,1,0,0,1,0,29,24,1,0,1,52,40,16.803881,52.500309,35.696442,15,841
100,3,1,0,0,0,1,0,0,32,21,1,0,1,52,40,21.00222,42.00444,21.00222,15,1024
101,3,1,0,0,0,1,0,0,28,22,1,0,1,40,40,14.28488,43.127499,28.84264,14,784
102,5,1,0,1,0,0,1,0,35,17,1,0,0,0,0,0,45.342129,45.342129,11,1225
103,3,1,0,0,1,0,0,0,29,17,1,0,1,52,40,8.40719,35.70694,27.299749,13,841
104,2,0,0,0,1,0,0,0,24,19,1,0,1,26,80,4.92256,32.222309,27.299749,14,576
105,3,1,0,1,0,0,1,0,34,24,1,0,1,30,40,3.22223,23.237841,20.01561,12,1156
106,2,0,0,1,0,0,1,0,27,23,1,0,1,12,22,2.10967,33.78619,31.676519,14,729
107,2,0,0,0,0,1,0,0,31,21,1,0,1,50,40,18.903051,56.698662,37.795589,12,961
108,2,0,1,0,1,1,1,0,29,22,1,0,1,36,40,23.101391,52.500309,29.39892,17,841
109,2,0,0,1,0,0,1,0,28,21,1,0,1,52,24,12.605531,22.440161,9.83463,13,784
110,4,1,0,0,0,1,0,0,34,20,1,0,1,52,40,10.50636,69.293686,58.787338,12,1156
111,2,0,0,0,0,1,0,0,23,18,1,0,0,0,0,0,31.498091,31.498091,12,529
112,2,0,0,1,0,0,1,0,25,19,1,0,1,52,40,13.65512,26.26066,12.605531,13,625
113,2,0,0,1,0,0,1,0,30,22,1,0,1,52,40,46.19231,84.848564,38.65625,14,900
114,3,1,0,0,1,0,0,0,35,19,1,0,0,0,0,0,31.361641,31.361641,11,1225
115,3,1,1,0,1,1,1,0,30,22,1,0,1,40,15,3.15926,38.85569,35.696442,16,900
116,2,0,0,0,1,0,0,0,31,22,1,0,1,42,40,35.696442,79.800064,44.10363,14,961
117,3,1,1,0,1,1,1,0,35,18,1,0,1,52,40,14.200911,39.306999,25.10611,12,1225
118,4,1,0,0,1,0,0,0,31,16,1,0,0,0,0,0,21.065199,21.065199,12,961
119,2,0,0,0,1,0,0,0,30,22,1,0,1,52,40,41.993942,83.987885,41.993942,16,900
120,2,0,0,0,1,0,0,0,29,20,1,0,0,0,0,0,18.903051,18.903051,12,841
121,2,0,0,0,0,1,0,0,30,19,1,0,1,28,32,10.50636,60.823532,50.317192,12,900
122,2,0,0,0,1,0,0,0,29,21,1,0,0,0,0,0,1.68983,1.68983,14,841
123,3,1,0,0,1,0,0,0,31,19,1,0,1,51,40,18.210331,48.889751,30.679411,13,961
124,2,0,1,0,1,1,1,0,26,21,1,0,1,52,40,14.7047,46.202782,31.498091,14,676
125,4,1,0,0,0,1,0,0,34,21,1,0,0,0,0,0,22.051811,22.051811,12,1156
126,2,0,0,0,1,0,0,0,26,19,1,0,1,52,40,20.89727,27.42569,6.52843,14,676
127,2,0,1,0,1,1,1,0,28,21,1,0,1,52,40,32.631641,82.64444,50.012783,15,784
128,3,1,1,0,1,1,1,0,30,21,1,0,0,0,0,0,54.589001,54.589001,12,900
129,3,1,1,0,1,1,1,0,25,18,1,0,1,36,40,14.38983,55.754032,41.364193,12,625
130,2,0,0,1,0,0,1,0,31,20,1,0,1,42,40,14.7047,38.908161,24.20347,15,961
131,2,0,1,0,1,1,1,0,24,18,1,0,0,0,0,0,36.294693,36.294693,12,576
132,3,1,0,0,1,0,0,0,32,22,1,0,0,0,0,0,46.19231,46.19231,12,1024
133,2,0,0,0,1,0,0,0,26,19,1,0,1,52,40,10.27545,30.438019,20.16255,12,676
134,2,0,1,0,1,1,1,0,34,25,1,0,1,52,40,23.101391,69.293686,46.19231,12,1156
135,2,0,0,1,0,0,1,0,27,21,1,0,1,52,40,10.50636,51.251308,40.744942,12,729
136,3,1,1,0,1,1,1,0,30,21,1,0,1,48,38,30.4485,101.568497,71.120003,16,900
137,2,0,0,0,1,0,0,0,35,26,1,0,1,52,40,25.200581,50.401161,25.200581,13,1225
138,2,0,0,1,0,0,1,0,32,22,1,0,1,42,15,1.68983,22.69206,21.00222,16,1024
139,2,0,1,0,1,1,1,0,25,19,1,0,1,50,40,14.7047,58.79784,44.093128,12,625
140,3,1,1,0,1,1,1,0,29,23,0,1,1,16,25,2.5295,79.191315,76.661812,12,841
141,3,1,0,0,0,1,0,0,29,18,1,0,1,12,39,2.10967,27.31023,25.200581,12,841
142,3,1,0,0,0,1,0,0,27,20,1,0,0,0,0,0,26.890409,26.890409,12,729
143,2,0,0,0,1,0,0,0,27,21,1,0,0,0,0,0,27.299749,27.299749,11,729
144,2,0,0,0,1,0,0,0,25,18,1,0,1,45,40,23.101391,55.449661,32.348251,12,625
145,3,1,1,0,1,1,1,0,31,21,1,0,0,0,0,0,29.23098,29.23098,12,961
146,2,0,0,1,0,0,1,0,31,16,1,0,1,43,32,10.50636,29.923721,19.417339,12,961
147,4,1,1,0,1,1,1,0,28,19,1,0,0,0,0,0,29.25197,29.25197,12,784
148,3,1,0,1,0,0,1,0,31,23,1,0,0,0,0,0,46.19231,46.19231,12,961
149,3,1,0,0,0,1,0,0,27,18,1,0,1,36,32,10.9262,44.303032,33.376839,14,729
150,2,0,0,0,0,1,0,0,29,21,1,0,1,52,40,18.903051,69.293686,50.390659,12,841
151,2,0,0,1,0,0,1,0,24,20,1,0,1,25,40,8.40719,46.202782,37.795589,12,576
152,2,0,0,0,1,0,0,0,30,20,1,0,0,0,0,0,52.500309,52.500309,14,900
153,3,1,1,0,1,1,1,0,28,18,0,1,0,0,0,0,0,0,11,784
154,2,0,0,0,0,1,0,0,23,15,1,0,0,0,0,0,25.11661,25.11661,11,529
155,2,0,0,1,0,0,1,0,32,27,1,0,0,0,0,0,48.910717,48.910717,17,1024
156,4,1,1,0,1,1,1,0,33,24,1,0,1,20,35,5.19545,55.58609,50.390659,17,1089
157,2,0,1,0,1,1,1,0,33,23,1,0,1,36,35,27.299749,59.637501,32.337769,16,1089
158,2,0,0,1,0,0,1,0,27,21,1,1,0,0,0,0,9.666691,9.666691,11,729
159,3,1,1,0,1,1,1,0,35,24,1,0,1,49,21,7.21066,12.57405,5.36339,12,1225
160,4,1,1,0,1,1,1,0,27,17,1,0,1,37,47,18.903051,53.759808,34.85675,13,729
161,2,0,0,0,0,1,0,0,33,22,1,0,1,47,40,22.051811,53.549911,31.498091,16,1089
162,7,1,0,0,1,0,0,0,29,19,1,0,1,2,32,0.74521,17.54908,16.803881,13,841
163,4,1,0,1,0,0,1,0,34,19,1,0,1,43,32,9.93959,55.23975,45.300159,12,1156
164,3,1,1,0,1,1,1,0,27,16,1,0,1,40,40,7.56752,36.966442,29.39892,12,729
165,2,0,0,0,1,0,0,0,24,18,1,0,1,10,20,0.85017,21.85239,21.00222,8,576
166,5,1,0,0,1,0,0,0,30,20,1,0,1,28,10,2.10967,157.438004,155.328247,14,900
167,3,1,0,0,0,1,0,0,30,19,1,0,1,30,40,10.50636,88.196747,77.690384,12,900
168,3,1,0,1,0,0,1,0,29,18,1,0,1,52,40,22.051811,68.244133,46.19231,14,841
169,2,0,0,0,0,1,0,0,34,23,1,0,1,52,40,33.597252,79.789566,46.19231,12,1156
170,2,0,0,1,0,0,1,0,33,23,1,0,0,0,0,0,54.31609,54.31609,12,1089
171,3,1,1,0,1,1,1,0,34,20,1,0,0,0,0,0,37.795589,37.795589,12,1156
172,2,0,0,1,0,0,1,0,23,19,1,0,1,18,40,8.40719,56.698662,48.29147,17,529
173,2,0,1,0,1,1,1,0,33,21,1,0,1,52,40,41.993942,86.318001,44.324032,12,1089
174,2,0,0,1,0,0,1,0,30,25,0,1,0,0,0,0,39.894783,39.894783,12,900
175,4,1,0,1,0,0,1,0,33,17,1,0,1,24,80,6.30802,39.905281,33.597252,12,1089
176,4,1,0,0,1,0,0,0,30,17,1,0,0,0,0,0,40.461559,40.461559,11,900
177,3,1,1,0,1,1,1,0,23,16,1,0,1,30,40,10.50636,31.508591,21.00222,9,529
178,3,1,0,1,0,0,1,0,27,18,1,0,0,0,0,0,74.835503,74.835503,12,729
179,2,0,0,0,0,1,0,0,30,18,1,0,1,28,40,13.02537,50.83147,37.806091,12,900
180,3,1,0,0,0,1,0,0,29,19,1,0,0,0,0,0,17.654051,17.654051,12,841
181,2,0,0,0,0,1,0,0,27,23,1,0,1,47,40,10.296451,23.32181,13.02537,12,729
182,4,1,0,0,1,0,0,0,32,20,1,0,1,18,40,7.14768,40.744942,33.597252,20,1024
183,3,1,0,0,1,0,0,0,31,18,1,0,1,52,40,8.40719,33.60775,25.200581,11,961
184,3,1,1,0,1,1,1,0,23,15,1,0,0,0,0,0,50.390659,50.390659,12,529
185,3,1,0,0,1,0,0,0,31,21,1,0,1,52,40,2.5295,15.13504,12.605531,10,961
186,2,0,0,0,1,0,0,0,26,20,1,0,1,52,25,10.50636,23.111891,12.605531,13,676
187,2,0,0,0,0,1,0,0,33,20,1,0,1,52,40,32.547668,70.343246,37.795589,18,1089
188,3,1,0,1,0,0,1,0,26,16,1,0,1,16,40,4.20884,28.370331,24.16148,12,676
189,2,0,0,0,1,0,0,0,31,21,1,0,1,46,40,13.99098,62.271969,48.280968,13,961
190,2,0,0,1,0,0,1,0,29,24,1,0,1,52,7,26.25016,51.450718,25.200581,16,841
191,2,0,0,0,1,0,0,0,27,22,1,0,0,0,0,0,21.96784,21.96784,12,729
192,2,0,0,0,1,0,0,0,34,27,1,0,0,0,0,0,56.037441,56.037441,16,1156
193,2,0,0,0,0,1,0,0,27,17,1,0,1,52,40,16.803881,52.500309,35.696442,12,729
194,2,0,0,0,1,0,0,0,30,21,1,0,1,52,40,16.803881,60.896999,44.093128,14,900
195,2,0,0,0,1,0,0,0,29,18,1,0,1,52,50,46.19231,76.241936,30.04966,13,841
196,2,0,0,0,1,0,0,0,35,27,1,0,1,52,40,33.849159,53.696838,19.84767,17,1225
197,2,0,1,0,1,1,1,0,25,17,1,0,1,5,40,16.803881,41.584629,24.780731,11,625
198,2,0,0,0,1,0,0,0,29,19,1,0,0,0,0,0,25.200581,25.200581,11,841
199,3,1,0,0,1,0,0,0,30,22,1,0,1,52,40,21.317089,47.924129,26.607019,14,900
200,5,1,0,0,0,1,0,0,26,16,1,0,0,0,0,0,21.43255,21.43255,14,676
201,2,0,0,1,0,0,1,0,33,17,1,0,1,52,40,41.993942,69.293686,27.299749,12,1089
202,4,1,1,0,1,1,1,0,35,19,1,0,1,9,40,2.2776,10.68479,8.40719,11,1225
203,2,0,0,0,0,1,0,0,33,22,1,0,0,0,0,0,16.803881,16.803881,12,1089
204,2,0,0,0,0,1,0,0,30,18,1,0,1,12,40,3.78901,28.71669,24.92767,12,900
205,4,1,0,1,0,0,1,0,26,19,1,0,1,30,40,10.50636,23.61569,13.10934,7,676
206,5,1,0,0,1,0,0,0,34,20,1,0,0,0,0,0,28.41231,28.41231,11,1156
207,4,1,0,0,1,0,0,0,27,16,1,0,1,15,40,3.0333,19.837189,16.803881,7,729
208,3,1,1,0,1,1,1,0,25,18,1,0,0,0,0,0,8.09231,8.09231,12,625
209,3,1,0,0,1,0,0,0,33,23,1,0,1,52,40,14.55777,23.85709,9.29934,13,1089
210,4,1,0,0,0,1,0,0,28,19,1,0,0,0,0,0,18.903051,18.903051,10,784
211,3,1,0,0,1,0,0,0,24,15,1,0,1,12,30,0.95512,13.56066,12.605531,8,576
212,3,1,0,0,1,0,0,0,28,18,1,0,1,43,40,10.50636,35.70694,25.200581,12,784
213,3,1,0,0,1,0,0,0,27,20,1,0,0,0,0,0,8.40719,8.40719,10,729
214,3,1,1,0,1,1,1,0,27,16,1,0,1,24,34,4.20884,37.816589,33.60775,13,729
215,2,0,0,0,0,1,0,0,33,23,1,0,1,52,40,11.76587,55.35519,43.58931,12,1089
216,3,1,1,0,1,1,1,0,23,18,1,0,1,48,40,21.00222,44.10363,23.101391,12,529
217,4,1,0,0,1,0,0,0,30,21,1,0,1,20,5,1.89975,3.7995,1.89975,12,900
218,5,1,0,0,0,1,0,0,23,16,1,0,1,26,40,0.64025,11.14661,10.50636,10,529
219,3,1,0,0,0,1,0,0,31,16,1,0,1,52,40,8.40719,35.70694,27.299749,10,961
220,6,1,0,0,0,1,0,0,35,21,1,0,1,52,40,18.903051,43.054031,24.15098,10,1225
221,2,0,0,0,1,0,0,0,31,20,1,0,1,52,72,20.75033,52.41634,31.666029,11,961
222,2,0,0,0,0,1,0,0,31,25,1,0,0,0,0,0,8.207769,8.207769,12,961
223,3,1,1,0,1,1,1,0,25,18,1,0,0,0,0,0,46.19231,46.19231,11,625
224,5,1,0,0,1,0,0,0,31,16,1,0,0,0,0,0,12.52156,12.52156,10,961
225,3,1,1,0,1,1,1,0,32,16,1,0,1,52,40,21.00222,60.896999,39.894783,10,1024
226,2,0,0,0,0,1,0,0,26,16,1,0,1,52,40,18.903051,42.00444,23.101391,10,676
227,3,1,0,0,1,0,0,0,28,20,1,0,1,52,30,12.605531,27.73008,15.12454,12,784
228,5,1,0,1,0,0,1,0,31,23,1,0,0,0,0,0,18.903051,18.903051,7,961
229,2,0,0,0,1,0,0,0,22,18,1,0,1,52,40,11.34603,49.15213,37.806091,12,484
230,4,1,1,0,1,1,1,0,33,15,1,0,0,0,0,0,0,0,8,1089
231,3,1,1,0,1,1,1,0,29,19,1,0,1,6,40,0.43033,35.5495,35.11916,15,841
232,2,0,0,1,0,0,1,0,28,22,1,0,1,30,40,8.1343,30.77388,22.63958,13,784
233,2,0,0,0,1,0,0,0,29,20,1,0,1,37,40,28.601231,62.670807,34.069557,18,841
234,2,0,0,0,1,0,0,0,26,22,1,0,1,50,32,9.98156,32.264301,22.282721,12,676
235,2,0,1,0,1,1,1,0,25,21,1,0,0,0,0,0,21.212141,21.212141,12,625
236,2,0,0,0,0,1,0,0,35,24,1,0,1,36,35,28.349331,49.351559,21.00222,18,1225
237,5,1,0,1,0,0,1,0,24,17,1,0,0,0,0,0,18.903051,18.903051,11,576
238,2,0,1,0,1,1,1,0,24,15,1,0,1,52,32,13.65512,39.139057,25.48395,12,576
239,3,1,1,0,1,1,1,0,27,16,1,0,1,9,40,2.46653,2.77091,0.30438,9,729
240,4,1,1,0,1,1,1,0,31,19,1,0,1,42,40,9.45677,14.37934,4.92256,11,961
241,2,0,0,1,0,0,1,0,22,17,1,0,1,47,40,10.863219,32.14883,21.28561,12,484
242,5,1,0,0,1,0,0,0,26,17,1,0,0,0,0,0,3.78901,3.78901,8,676
243,5,1,1,0,1,1,1,0,32,17,1,0,0,0,0,0,41.993942,41.993942,10,1024
244,3,1,0,0,1,0,0,0,33,17,1,0,1,50,40,9.45677,73.869881,64.413132,7,1089
245,4,1,0,1,0,0,1,0,32,22,1,0,0,0,0,0,23.290331,23.290331,5,1024
246,2,0,0,1,0,0,1,0,26,20,1,0,1,52,40,17.55958,48.952721,31.393131,12,676
247,2,0,1,0,1,1,1,0,27,16,1,0,1,52,40,58.157589,116.315186,58.157589,11,729
248,2,0,0,0,1,0,0,0,27,16,1,0,1,38,44,29.39892,58.79784,29.39892,10,729
249,2,0,0,0,1,0,0,0,28,19,1,0,1,52,40,20.75033,52.41634,31.666029,14,784
250,2,0,1,0,1,1,1,0,30,20,1,0,1,52,40,3.47413,7.68297,4.20884,12,900
251,3,1,0,1,0,0,1,0,28,23,1,0,1,40,40,12.605531,33.60775,21.00222,16,784
252,3,1,0,0,1,0,0,0,32,18,1,0,0,0,0,0,9.83463,9.83463,9,1024
253,2,0,1,0,1,1,1,0,27,19,1,0,0,0,0,0,37.795589,37.795589,12,729
254,3,1,0,1,0,0,1,0,33,19,1,0,0,0,0,0,19.144449,19.144449,11,1089
255,2,0,0,1,0,0,1,0,35,22,1,0,1,52,40,12.605531,27.31023,14.7047,12,1225
256,2,0,0,0,0,1,0,0,30,19,1,0,0,0,0,0,3.15926,3.15926,11,900
257,3,1,0,0,0,1,0,0,34,17,1,0,1,46,48,19.784698,47.084442,27.299749,11,1156
258,3,1,0,1,0,0,1,0,28,20,1,0,0,0,0,0,33.597252,33.597252,12,784
259,3,1,0,0,0,1,0,0,28,18,1,0,1,52,40,14.7047,37.806091,23.101391,12,784
260,3,1,0,1,0,0,1,0,35,19,1,0,1,36,40,24.612801,63.972309,39.359501,17,1225
261,3,1,0,0,1,0,0,0,29,15,1,0,1,52,40,16.803881,48.301968,31.498091,11,841
262,3,1,0,0,0,1,0,0,35,20,1,0,1,48,36,17.70652,36.8195,19.11297,10,1225
263,4,1,1,0,1,1,1,0,35,25,1,0,0,0,0,0,21.00222,21.00222,9,1225
264,3,1,0,0,1,0,0,0,31,21,1,0,0,0,0,0,26.155689,26.155689,11,961
265,2,0,1,0,1,1,1,0,33,18,1,0,1,52,40,25.200581,71.392883,46.19231,12,1089
266,2,0,1,0,1,1,1,0,28,19,1,0,1,52,40,22.156769,25.295029,3.13826,12,784
267,3,1,0,0,1,0,0,0,33,19,1,0,1,52,40,23.101391,39.905281,16.803881,12,1089
268,5,1,0,1,0,0,1,0,35,21,1,0,0,0,0,0,12.6895,12.6895,5,1225
269,2,0,0,0,0,1,0,0,35,20,1,0,1,36,40,8.40719,41.763031,33.355839,9,1225
270,4,1,0,0,1,0,0,0,30,16,1,0,1,52,48,35.696442,71.392883,35.696442,11,900
271,2,0,0,0,0,1,0,0,32,17,1,0,1,52,40,16.803881,33.60775,16.803881,11,1024
272,3,1,0,1,0,0,1,0,34,24,1,0,1,36,8,29.39892,53.66534,24.266439,20,1156
273,5,1,0,1,0,0,1,0,35,17,1,0,1,44,40,10.75826,28.590731,17.83247,13,1225
274,3,1,0,0,1,0,0,0,28,17,1,0,1,43,44,14.7047,48.301968,33.597252,12,784
